İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Motor Hacmi,Motor Gücü,Çekiş,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,TL
20830354,23 Ağustos 2022,Citroen,C4,1.6 HDi SX,2005,212.000 km,Düz,Dizel,Hatchback/5,1560 cc,111 hp,Önden Çekiş,"4,8 lt",60 lt,3 boyalı,Takasa Uygun Değil,Sahibinden,189500
20828980,23 Ağustos 2022,Nissan,Note,1.6 Tekna,2009,133.178 km,Otomatik,Benzin,Hatchback/5,1598 cc,110 hp,Önden Çekiş,"6,8 lt",46 lt,"3 değişen, 1 boyalı",Takasa Uygun Değil,Sahibinden,285000
20831615,23 Ağustos 2022,Fiat,Punto,1.3 Multijet Pop,2012,193.000 km,Düz,Dizel,Hatchback/5,1248 cc,75 hp,Önden Çekiş,"4,2 lt",45 lt,3 değişen,Takasa Uygun Değil,Sahibinden,215000
20830317,23 Ağustos 2022,Honda,Civic,1.6 i-VTEC ECO Elegance,2012,94.500 km,Otomatik,LPG & Benzin,Sedan,1595 cc,125 hp,Önden Çekiş,"6,7 lt",50 lt,2 boyalı,Takasa Uygun,Sahibinden,456000
20831873,23 Ağustos 2022,BMW,5 Serisi,525d xDrive Premium,2015,72.000 km,Otomatik,Dizel,Sedan,1995 cc,218 hp,4WD (Sürekli),"5,1 lt",70 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,1800000
20830338,23 Ağustos 2022,Hyundai,i30,1.6 CRDi Style Plus,2010,230.000 km,Düz,Dizel,Hatchback/5,1582 cc,115 hp,Önden Çekiş,"4,7 lt",53 lt,"3 değişen, 5 boyalı",Takasa Uygun Değil,Sahibinden,206000
20829213,23 Ağustos 2022,Tofaş,Doğan,S,1995,200.000 km,Düz,LPG & Benzin,Sedan,1581 cc,83 hp,Arkadan İtiş,"6,5 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,65000
20830433,23 Ağustos 2022,Opel,Corsa,1.4 Essentia,2015,48.800 km,Otomatik,Benzin,Hatchback/5,1398 cc,90 hp,Önden Çekiş,6 lt,45 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,375000
20829207,23 Ağustos 2022,Hyundai,i20,1.4 CRDi Jump,2013,167.000 km,Düz,Dizel,Hatchback/5,1396 cc,90 hp,Önden Çekiş,"4,3 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,268000
20828564,23 Ağustos 2022,Opel,Insignia,2.0 CDTI Cosmo,2013,253.000 km,Otomatik,Dizel,Sedan,1956 cc,160 hp,4WD (Sürekli),"6,2 lt",70 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,370000
20829347,23 Ağustos 2022,Dacia,Sandero,1.0 Stepway,2021,13.890 km,Düz,Benzin,Hatchback/5,999 cc,100 hp,Önden Çekiş,"4,4 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,442000
20829171,23 Ağustos 2022,Fiat,Egea,1.3 Multijet Urban,2016,119.000 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,1 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,348000
20831425,23 Ağustos 2022,Renault,Clio,1.5 dCi Touch,2014,87.000 km,Düz,Dizel,Hatchback/5,1461 cc,75 hp,Önden Çekiş,"3,6 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,347250
20830478,23 Ağustos 2022,Honda,Civic,1.4 S,1999,67.700 km,Düz,Benzin,Hatchback/5,1396 cc,90 hp,Önden Çekiş,"7,7 lt",55 lt,"1 değişen, 1 boyalı",Takasa Uygun Değil,Sahibinden,232000
20830442,23 Ağustos 2022,Tofaş,Doğan,SLX,1995,131.000 km,Düz,LPG & Benzin,Sedan,1581 cc,83 hp,Arkadan İtiş,0 lt,50 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,145000
20829384,23 Ağustos 2022,Toyota,Corolla,1.4 D-4D Comfort,2009,252.000 km,Yarı Otomatik,Dizel,Sedan,1364 cc,90 hp,Önden Çekiş,"4,9 lt",55 lt,"1 değişen, 2 boyalı",Takasa Uygun Değil,Sahibinden,275000
20832059,23 Ağustos 2022,Renault,Fluence,1.5 dCi Touch,2015,135.000 km,Yarı Otomatik,Dizel,Sedan,1461 cc,110 hp,Önden Çekiş,"4,4 lt",60 lt,3 boyalı,Takasa Uygun Değil,Sahibinden,347500
20831110,23 Ağustos 2022,Fiat,Albea,1.4 Fire Dynamic,2007,202.000 km,Düz,LPG & Benzin,Sedan,1368 cc,77 hp,Önden Çekiş,"6,1 lt",45 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,129500
20829681,23 Ağustos 2022,Kia,Rio,1.5 CRDi Trend,2009,180.000 km,Düz,Dizel,Hatchback/5,1493 cc,110 hp,Önden Çekiş,"4,7 lt",45 lt,8 boyalı,Takasa Uygun,Sahibinden,202500
20829605,23 Ağustos 2022,Honda,Civic,1.6 i-VTEC ECO Elegance,2015,79.500 km,Otomatik,LPG & Benzin,Sedan,1598 cc,125 hp,Önden Çekiş,"6,7 lt",50 lt,"1 değişen, 5 boyalı",Takasa Uygun,Sahibinden,525000
20831579,23 Ağustos 2022,Fiat,Stilo,1.6 Dynamic,2004,256.000 km,Düz,LPG & Benzin,Hatchback/5,1596 cc,103 hp,Önden Çekiş,"7,4 lt",58 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,135000
20832314,23 Ağustos 2022,Toyota,Corolla,1.4 D-4D Sol,2006,316.000 km,Düz,Dizel,Hatchback/5,1364 cc,90 hp,Önden Çekiş,"4,8 lt",55 lt,3 boyalı,Takasa Uygun Değil,Sahibinden,185000
20832290,23 Ağustos 2022,Hyundai,Accent Blue,1.6 CRDI Biz,2012,175.000 km,Otomatik,Dizel,Sedan,1582 cc,128 hp,Önden Çekiş,"5,6 lt",43 lt,1 boyalı,Takasa Uygun Değil,Sahibinden,315000
19891039,23 Ağustos 2022,Opel,Astra,1.6 CDTI Sport,2015,99.500 km,Düz,Dizel,Hatchback/5,1598 cc,136 hp,Önden Çekiş,"3,9 lt",56 lt,4 değişen,Takasa Uygun Değil,Sahibinden,369999
20404141,23 Ağustos 2022,Nissan,350 Z,Coupe,2004,135.000 km,Düz,Benzin,Coupe,3498 cc,280 hp,Arkadan İtiş,"11,4 lt",80 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,1115000
20404065,23 Ağustos 2022,Seat,Ibiza,1.4 TSI Sport Coupe Cupra,2011,179.000 km,Yarı Otomatik,Benzin,Coupe,1390 cc,180 hp,Önden Çekiş,"6,4 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,375000
20404029,23 Ağustos 2022,Fiat,Punto,1.3 Multijet Pop,2012,275.000 km,Düz,Dizel,Hatchback/5,1248 cc,75 hp,Önden Çekiş,"4,2 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,167500
20403293,23 Ağustos 2022,BMW,3 Serisi,320d xDrive Standart,2015,172.000 km,Otomatik,Dizel,Sedan,1995 cc,190 hp,4WD (Sürekli),"4,3 lt",57 lt,4 boyalı,Takasa Uygun Değil,Galeriden,785000
20403245,23 Ağustos 2022,BMW,3 Serisi,318i M Sport,2016,37.000 km,Otomatik,Benzin,Station wagon,1499 cc,136 hp,Arkadan İtiş,"5,3 lt",60 lt,"2 değişen, 7 boyalı",Takasa Uygun Değil,Galeriden,710000
20403124,23 Ağustos 2022,Volkswagen,Passat,1.6 TDi BlueMotion Trendline,2016,159.000 km,Yarı Otomatik,Dizel,Sedan,1598 cc,120 hp,Önden Çekiş,4 lt,66 lt,2 boyalı,Takasa Uygun Değil,Galeriden,630000
20832150,23 Ağustos 2022,BMW,3 Serisi,320d M Sport,2011,199.000 km,Otomatik,Dizel,Sedan,1995 cc,184 hp,Arkadan İtiş,"5,3 lt",60 lt,Belirtilmemiş,Takasa Uygun,Galeriden,545000
20405601,23 Ağustos 2022,Toyota,Corolla,1.4 D-4D Touch,2016,106.000 km,Yarı Otomatik,Dizel,Sedan,1364 cc,90 hp,Önden Çekiş,"4,1 lt",55 lt,3 boyalı,Takasa Uygun Değil,Galeriden,450000
20417242,23 Ağustos 2022,Opel,Astra,1.3 CDTI Enjoy Active,2014,173.000 km,Düz,Dizel,Hatchback/5,1248 cc,95 hp,Önden Çekiş,"4,1 lt",56 lt,"3 değişen, 3 boyalı",Takasa Uygun Değil,Sahibinden,319000
20832053,23 Ağustos 2022,Ford,Fiesta,1.4 TDCi Titanium,2011,246.000 km,Düz,Dizel,Hatchback/5,1398 cc,70 hp,Önden Çekiş,"4,2 lt",45 lt,"1 değişen, 5 boyalı",Takasa Uygun Değil,Sahibinden,225000
20374019,23 Ağustos 2022,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2012,195.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,105 hp,Önden Çekiş,"3,9 lt",50 lt,"4 değişen, 6 boyalı",Takasa Uygun,Galeriden,375000
20831817,23 Ağustos 2022,Volkswagen,Jetta,1.6 TDi Comfortline,2015,155.000 km,Yarı Otomatik,Dizel,Sedan,1598 cc,105 hp,Önden Çekiş,"4,7 lt",55 lt,"3 değişen, 3 boyalı",Takasa Uygun,Galeriden,410000
20419896,23 Ağustos 2022,BMW,Z Serisi,Z4 3.0i sDrive,2022,0 km,Otomatik,Benzin,Roadster,1998 cc,258 hp,Arkadan İtiş,"6,1 lt",52 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,2725000
20831784,23 Ağustos 2022,Hyundai,Accent Era,1.5 CRDi-VGT Select,2008,233.000 km,Düz,Dizel,Sedan,1493 cc,110 hp,Önden Çekiş,"4,6 lt",45 lt,Belirtilmemiş,Takasa Uygun,Galeriden,138000
19959987,23 Ağustos 2022,Seat,Toledo,1.6 TDI Style,2014,190.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,90 hp,Önden Çekiş,"4,5 lt",55 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,400000
20422264,23 Ağustos 2022,Mercedes - Benz,S,S 400 Long,2018,75.204 km,Otomatik,Dizel,Sedan,2996 cc,333 hp,4WD (Sürekli),8 lt,70 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,5650000
20418678,23 Ağustos 2022,BMW,3 Serisi,316i Standart,2012,56.347 km,Otomatik,Benzin,Sedan,1598 cc,136 hp,Arkadan İtiş,"5,8 lt",60 lt,2 boyalı,Takasa Uygun Değil,Galeriden,655000
20418676,23 Ağustos 2022,Mercedes - Benz,CLA,180 D AMG,2016,66.500 km,Otomatik,Dizel,Coupe,1461 cc,109 hp,Önden Çekiş,"3,8 lt",50 lt,"2 değişen, 5 boyalı",Takasa Uygun Değil,Galeriden,795000
20418665,23 Ağustos 2022,Seat,Ibiza,1.0 EcoTSI Style,2019,47.720 km,Yarı Otomatik,Benzin,Hatchback/5,999 cc,110 hp,Önden Çekiş,"4,4 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,482000
20418447,23 Ağustos 2022,BMW,3 Serisi,320i ED Luxury Line,2015,75.000 km,Otomatik,Benzin,Sedan,1598 cc,170 hp,Arkadan İtiş,"5,3 lt",60 lt,"3 değişen, 4 boyalı",Takasa Uygun Değil,Galeriden,792500
19966120,23 Ağustos 2022,BMW,3 Serisi,320i First Edition Luxury Line,2020,23.235 km,Otomatik,Benzin,Sedan,1597 cc,170 hp,Arkadan İtiş,6 lt,59 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,1695000
20392311,22 Ağustos 2022,Hyundai,i20,1.4 CRDi Jump,2014,197.999 km,Düz,Dizel,Hatchback/5,1396 cc,90 hp,Önden Çekiş,"4,3 lt",45 lt,"1 değişen, 4 boyalı",Takasa Uygun,Sahibinden,234900
20221823,22 Ağustos 2022,Renault,Symbol,1.5 dCi Joy,2014,153.000 km,Düz,Dizel,Sedan,1461 cc,90 hp,Önden Çekiş,"3,9 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,270000
20831211,22 Ağustos 2022,Volkswagen,Passat,1.4 TSi BlueMotion Comfortline,2016,42.400 km,Yarı Otomatik,Benzin,Sedan,1395 cc,125 hp,Önden Çekiş,5 lt,66 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,837000
20830946,22 Ağustos 2022,Toyota,Corolla,1.4 D-4D Touch,2016,102.000 km,Yarı Otomatik,Dizel,Sedan,1364 cc,90 hp,Önden Çekiş,"4,1 lt",55 lt,5 boyalı,Takasa Uygun,Galeriden,440000
20389909,22 Ağustos 2022,Opel,Astra,1.6 Edition Plus,2017,52.000 km,Düz,Benzin,Sedan,1598 cc,115 hp,Önden Çekiş,"6,5 lt",56 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,383000
20831019,22 Ağustos 2022,Opel,Astra,1.3 CDTI Essentia Konfor,2011,249.979 km,Düz,Dizel,Hatchback/5,1248 cc,90 hp,Önden Çekiş,"4,9 lt",52 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,298000
19976844,22 Ağustos 2022,Hyundai,Accent,1.3 LX,2002,288.000 km,Düz,LPG & Benzin,Sedan,1341 cc,86 hp,Önden Çekiş,"6,7 lt",45 lt,Tamamı boyalı,Takasa Uygun Değil,Sahibinden,145000
20830922,22 Ağustos 2022,Fiat,Uno,70 S,1996,232.000 km,Düz,LPG & Benzin,Hatchback/5,1372 cc,71 hp,Önden Çekiş,0 lt,42 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,80000
20614764,22 Ağustos 2022,Fiat,Tipo,2.0 ie,1999,260.000 km,Düz,LPG & Benzin,Hatchback/3,1995 cc,139 hp,Önden Çekiş,0 lt,55 lt,2 boyalı,Takasa Uygun,Sahibinden,45000
20830582,22 Ağustos 2022,Hyundai,Elantra,1.6 D-CVVT Mode,2011,200.000 km,Otomatik,LPG & Benzin,Sedan,1591 cc,132 hp,Önden Çekiş,7 lt,48 lt,"1 değişen, 2 boyalı",Takasa Uygun,Galeriden,310000
20830071,22 Ağustos 2022,Fiat,Brava,1.6 SX,2000,256.000 km,Düz,LPG & Benzin,Hatchback/5,1581 cc,103 hp,Önden Çekiş,"7,8 lt",50 lt,"3 değişen, 10 boyalı",Takasa Uygun Değil,Sahibinden,112000
20405703,22 Ağustos 2022,Ford,Fiesta,1.4 TDCi Trend,2012,280.000 km,Düz,Dizel,Hatchback/5,1398 cc,70 hp,Önden Çekiş,"4,2 lt",45 lt,"1 değişen, 2 boyalı",Takasa Uygun Değil,Sahibinden,210000
20830430,22 Ağustos 2022,Honda,Civic,1.6 i-VTEC ECO Elegance,2018,77.000 km,Otomatik,LPG & Benzin,Sedan,1597 cc,125 hp,Önden Çekiş,"6,7 lt",47 lt,2 boyalı,Takasa Uygun,Galeriden,559000
20830348,22 Ağustos 2022,Renault,Megane,1.5 dCi Touch,2016,94.000 km,Yarı Otomatik,Dizel,Sedan,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt,Tamamı orjinal,Takasa Uygun,Galeriden,517000
20830233,22 Ağustos 2022,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2016,171.000 km,Yarı Otomatik,Dizel,Sedan,1582 cc,136 hp,Önden Çekiş,"4,6 lt",43 lt,Tamamı orjinal,Takasa Uygun,Galeriden,375000
20830165,22 Ağustos 2022,Volkswagen,Golf,1.6 TDi BlueMotion Midline Plus,2014,242.000 km,Düz,Dizel,Hatchback/5,1598 cc,90 hp,Önden Çekiş,"3,8 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,342500
19620120,22 Ağustos 2022,Skoda,SuperB,1.6 TDI Elegance,2012,160.000 km,Düz,Dizel,Sedan,1598 cc,105 hp,Önden Çekiş,5 lt,60 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,520000
19940555,22 Ağustos 2022,Opel,Astra,1.3 CDTI Essentia Konfor,2011,175.000 km,Düz,Dizel,Hatchback/5,1248 cc,90 hp,Önden Çekiş,"4,9 lt",52 lt,1 değişen,Takasa Uygun Değil,Sahibinden,270000
20829809,22 Ağustos 2022,Volkswagen,Polo,1.0 Trendline,2018,51.500 km,Düz,Benzin,Hatchback/5,999 cc,75 hp,Önden Çekiş,"4,7 lt",40 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,393750
20829762,22 Ağustos 2022,Skoda,Felicia,1.3 GLX,1998,303.000 km,Düz,Benzin,Hatchback/5,1289 cc,54 hp,Önden Çekiş,0 lt,42 lt,Tamamı boyalı,Takasa Uygun,Galeriden,76000
20676352,22 Ağustos 2022,Fiat,Linea,1.3 Multijet Active Plus,2013,187.000 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,9 lt",45 lt,"1 değişen, 1 boyalı",Takasa Uygun,Galeriden,219500
20746602,22 Ağustos 2022,Fiat,Punto,1.3 Multijet Pop,2014,231.000 km,Düz,Dizel,Hatchback/5,1248 cc,75 hp,Önden Çekiş,"4,2 lt",45 lt,"1 değişen, 1 boyalı",Takasa Uygun,Galeriden,236000
20251066,22 Ağustos 2022,Renault,Megane,1.5 dCi Expression,2008,280.000 km,Düz,Dizel,Sedan,1461 cc,100 hp,Önden Çekiş,"4,9 lt",60 lt,Belirtilmemiş,Takasa Uygun,Galeriden,188500
20803862,22 Ağustos 2022,BMW,3 Serisi,320i ED Luxury Line Plus,2014,122.000 km,Otomatik,Benzin,Sedan,1598 cc,170 hp,Arkadan İtiş,"5,3 lt",60 lt,Belirtilmemiş,Takasa Uygun,Galeriden,765000
20270468,22 Ağustos 2022,Skoda,Felicia,1.3 GLXi,2000,220.000 km,Düz,Benzin,Hatchback/5,1289 cc,68 hp,Önden Çekiş,"6,7 lt",42 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,98500
20394313,22 Ağustos 2022,Chevrolet,Spark,1.0,2012,76.000 km,Düz,Benzin,Hatchback/5,995 cc,68 hp,Önden Çekiş,"5,1 lt",35 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,193000
20829404,22 Ağustos 2022,Audi,A4,A4 Sedan 2.0 TDI,2015,108.000 km,Otomatik,Dizel,Sedan,1968 cc,177 hp,Önden Çekiş,"4,8 lt",63 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,895000
20493644,22 Ağustos 2022,Honda,Civic,1.6 i-VTEC Elegance,2008,225.000 km,Otomatik,LPG & Benzin,Sedan,1595 cc,125 hp,Önden Çekiş,"7,1 lt",50 lt,3 boyalı,Takasa Uygun Değil,Sahibinden,350000
20765249,22 Ağustos 2022,Volkswagen,Polo,1.4 TDi Comfortline,2017,130.000 km,Yarı Otomatik,Dizel,Hatchback/5,1422 cc,90 hp,Önden Çekiş,"3,5 lt",45 lt,Belirtilmemiş,Takasa Uygun,Galeriden,398500
20750354,22 Ağustos 2022,Toyota,Corolla,1.4 D-4D Touch,2017,140.000 km,Yarı Otomatik,Dizel,Sedan,1364 cc,90 hp,Önden Çekiş,"4,1 lt",55 lt,Belirtilmemiş,Takasa Uygun,Galeriden,413000
20705223,22 Ağustos 2022,Renault,Megane,1.5 dCi Touch,2017,144.000 km,Yarı Otomatik,Dizel,Sedan,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt,Belirtilmemiş,Takasa Uygun,Galeriden,447500
20567126,22 Ağustos 2022,Mercedes - Benz,A,A 180 CDI BlueEFFICIENCY AMG,2017,110.000 km,Yarı Otomatik,Dizel,Hatchback/5,1461 cc,109 hp,Önden Çekiş,"4,4 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,752000
20829290,22 Ağustos 2022,Renault,Symbol,1.5 dCi Joy,2014,230.000 km,Düz,Dizel,Sedan,1461 cc,90 hp,Önden Çekiş,"3,9 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,217750
20829283,22 Ağustos 2022,Opel,Astra,1.6 CDTI Design,2017,186.000 km,Otomatik,Dizel,Sedan,1598 cc,136 hp,Önden Çekiş,"5,1 lt",56 lt,Belirtilmemiş,Takasa Uygun,Galeriden,373000
20413596,22 Ağustos 2022,Audi,A3,A3 Sedan 1.6 TDI Design Line,2019,74.500 km,Yarı Otomatik,Dizel,Sedan,1598 cc,116 hp,Önden Çekiş,"3,9 lt",50 lt,1 boyalı,Takasa Uygun,Galeriden,802500
20829258,22 Ağustos 2022,Toyota,Yaris,1.0 Vision,2021,600 km,Düz,Benzin,Hatchback/5,998 cc,72 hp,Önden Çekiş,"4,5 lt",42 lt,Belirtilmemiş,Takasa Uygun,Galeriden,417000
20829155,22 Ağustos 2022,Hyundai,i30,1.6 CRDi Style,2008,237.000 km,Otomatik,Dizel,Hatchback/5,1582 cc,115 hp,Önden Çekiş,"5,9 lt",53 lt,Belirtilmemiş,Takasa Uygun,Galeriden,275000
20829030,22 Ağustos 2022,Citroen,C-Elysee,1.6 HDi Attraction,2016,210.000 km,Düz,Dizel,Sedan,1560 cc,93 hp,Önden Çekiş,"4,3 lt",48 lt,Belirtilmemiş,Takasa Uygun,Galeriden,233000
20828845,22 Ağustos 2022,Renault,Megane,1.4 T Color Edition,2011,135.000 km,Düz,LPG & Benzin,Coupe,1397 cc,130 hp,Önden Çekiş,"6,6 lt",60 lt,3 boyalı,Takasa Uygun Değil,Sahibinden,290000
19581872,22 Ağustos 2022,Tofaş,Doğan,SLX,1996,175.000 km,Düz,LPG & Benzin,Sedan,1581 cc,83 hp,Arkadan İtiş,0 lt,50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,90500
20828666,22 Ağustos 2022,Citroen,C-Elysee,1.6 HDi Shine,2017,120.000 km,Düz,Dizel,Sedan,1560 cc,93 hp,Önden Çekiş,"4,1 lt",48 lt,"1 değişen, 4 boyalı",Takasa Uygun Değil,Sahibinden,324000
20828856,22 Ağustos 2022,Opel,Meriva,1.6 Enjoy,2006,206.000 km,Düz,Benzin,MPV,1598 cc,105 hp,Önden Çekiş,"6,7 lt",53 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,173500
20828803,22 Ağustos 2022,Hyundai,i20,1.4 MPI Elite,2015,77.000 km,Otomatik,Benzin,Hatchback/5,1368 cc,100 hp,Önden Çekiş,"6,4 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,450000
20828700,22 Ağustos 2022,Opel,Corsa,1.4 Color Edition,2016,49.500 km,Otomatik,Benzin,Hatchback/5,1398 cc,90 hp,Önden Çekiş,6 lt,45 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,419000
20828827,22 Ağustos 2022,Toyota,Corolla,1.3 XL,1993,289.000 km,Düz,LPG & Benzin,Sedan,1332 cc,88 hp,Önden Çekiş,0 lt,50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,135000
20828686,22 Ağustos 2022,Volkswagen,Polo,1.6,2000,235.000 km,Düz,Benzin,Hatchback/5,1598 cc,75 hp,Önden Çekiş,"6,9 lt",45 lt,"4 değişen, 9 boyalı",Takasa Uygun,Sahibinden,120000
20828766,22 Ağustos 2022,Fiat,Linea,1.3 Multijet Active Plus,2015,242.000 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,9 lt",45 lt,"1 değişen, 5 boyalı",Takasa Uygun Değil,Sahibinden,199000
19822371,22 Ağustos 2022,Fiat,Egea,1.4 Fire Urban,2021,1.998 km,Düz,Benzin,Hatchback/5,1368 cc,95 hp,Önden Çekiş,"6,6 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,445000
20828669,22 Ağustos 2022,Volkswagen,Polo,1.6 TDi Trendline,2018,82.500 km,Düz,Dizel,Hatchback/5,1598 cc,80 hp,Önden Çekiş,"3,8 lt",40 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,448000
20828801,22 Ağustos 2022,Peugeot,208,1.6 HDi Active,2016,61.000 km,Düz,Dizel,Hatchback/5,1560 cc,93 hp,Önden Çekiş,"3,9 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,350000
20828782,22 Ağustos 2022,Honda,Civic,1.6 i-VTEC ECO Elegance,2020,15.000 km,Otomatik,LPG & Benzin,Sedan,1597 cc,125 hp,Önden Çekiş,"6,3 lt",46 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,705000
20828728,22 Ağustos 2022,Renault,Symbol,1.4 Authentique,2008,155.000 km,Düz,Benzin,Sedan,1390 cc,75 hp,Önden Çekiş,"7,1 lt",50 lt,3 boyalı,Takasa Uygun Değil,Sahibinden,182500
20828587,22 Ağustos 2022,Ford,Fiesta,1.5 TDCi Trend X,2014,266.000 km,Düz,Dizel,Hatchback/5,1498 cc,75 hp,Önden Çekiş,"3,7 lt",42 lt,"1 değişen, 2 boyalı",Takasa Uygun,Sahibinden,255000
20828736,22 Ağustos 2022,Seat,Leon,1.6 TDI Style,2016,111.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,110 hp,Önden Çekiş,"3,8 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,523750
20828712,22 Ağustos 2022,Mercedes - Benz,B,B 150 Boyut,2009,65.000 km,Otomatik,Benzin,MPV,1498 cc,95 hp,Önden Çekiş,"7,3 lt",54 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,495000
20828626,22 Ağustos 2022,Tofaş,Doğan,1.6 ie,2002,53.000 km,Düz,LPG & Benzin,Sedan,1581 cc,83 hp,Arkadan İtiş,0 lt,45 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,160000
20828539,22 Ağustos 2022,Opel,Astra,1.4 Club,2003,187.000 km,Düz,LPG & Benzin,Hatchback/5,1388 cc,90 hp,Önden Çekiş,"7,2 lt",52 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,165000
20828689,22 Ağustos 2022,Fiat,Tempra,1.6 SX AK,1993,133.000 km,Düz,LPG & Benzin,Sedan,1581 cc,90 hp,Önden Çekiş,0 lt,65 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,65000
20828529,22 Ağustos 2022,Nissan,Primera,1.8 Luxury,2000,265.000 km,Düz,LPG & Benzin,Sedan,1769 cc,114 hp,Önden Çekiş,"7,3 lt",60 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,140000
20828512,22 Ağustos 2022,Hyundai,i20,1.2 D-CVVT Jump,2017,16.000 km,Düz,LPG & Benzin,Hatchback/5,1248 cc,85 hp,Önden Çekiş,"4,9 lt",45 lt,1 değişen,Takasa Uygun Değil,Sahibinden,430000
20828428,22 Ağustos 2022,Audi,A3,A3 Sportback 1.6 Sportback Ambiente,2012,136.000 km,Düz,Benzin,Hatchback/5,1595 cc,102 hp,Önden Çekiş,"6,9 lt",55 lt,"2 değişen, 1 boyalı",Takasa Uygun Değil,Sahibinden,560000
20828462,22 Ağustos 2022,Volkswagen,Golf,1.6 FSi Sportline,2005,222.200 km,Düz,Benzin,Hatchback/5,1598 cc,115 hp,Önden Çekiş,"6,6 lt",55 lt,"1 değişen, 4 boyalı",Takasa Uygun Değil,Sahibinden,245000
20828417,22 Ağustos 2022,Seat,Ibiza,1.2 TSI Style,2016,80.750 km,Düz,Benzin,Hatchback/5,1197 cc,90 hp,Önden Çekiş,"4,9 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,365000
20828374,22 Ağustos 2022,Ford,Mondeo,1.6 TDCi Style,2015,213.500 km,Düz,Dizel,Sedan,1560 cc,115 hp,Önden Çekiş,"4,1 lt",0 lt,2 boyalı,Takasa Uygun Değil,Sahibinden,430000
